symbol,universe_type,exposure_type,bar_grain,fund_name,issuer_name,interpretation
CPER,market_state_etf,commodities,1m,United States Copper Index Fund,USCF Investments,Copper fund used to observe industrial metal and cyclical commodity impulse.
DBA,market_state_etf,commodities,1m,Invesco DB Agriculture Fund,Invesco,Agriculture commodity fund used to observe agriculture price pressure.
DBC,market_state_etf,commodities,1m,Invesco DB Commodity Index Tracking Fund,Invesco,Broad commodity basket ETF used to observe aggregate commodity pressure.
DIA,market_state_etf,us_equity_core,1m,SPDR Dow Jones Industrial Average ETF Trust,State Street / SPDR,Dow Jones Industrial Average ETF used to observe old-economy/value blue-chip beta.
ETHA,market_state_etf,crypto_beta,30m,iShares Ethereum Trust ETF,BlackRock / iShares,Spot Ethereum ETF used to observe Ethereum beta.
FSOL,market_state_etf,crypto_beta,30m,Fidelity Solana Fund,Fidelity,Solana fund used to observe Solana crypto beta.
GLD,market_state_etf,commodities,1m,SPDR Gold Shares,World Gold Trust Services / SPDR,Gold ETF used to observe gold safe-haven and real-rate sensitivity.
HYG,market_state_etf,credit,30m,iShares iBoxx $ High Yield Corporate Bond ETF,BlackRock / iShares,High-yield corporate bond ETF used to observe credit risk appetite.
IBIT,market_state_etf,crypto_beta,30m,iShares Bitcoin Trust ETF,BlackRock / iShares,Spot Bitcoin ETF used to observe Bitcoin beta.
IEF,market_state_etf,rates_curve,30m,iShares 7-10 Year Treasury Bond ETF,BlackRock / iShares,Intermediate Treasury bond ETF used to observe 7-10 year duration exposure.
IWM,market_state_etf,us_equity_core,1m,iShares Russell 2000 ETF,BlackRock / iShares,Russell 2000 ETF used to observe small-cap risk appetite.
LQD,market_state_etf,credit,30m,iShares iBoxx $ Investment Grade Corporate Bond ETF,BlackRock / iShares,Investment-grade corporate bond ETF used to observe high-quality credit exposure.
QQQ,market_state_etf,us_equity_core,1m,"Invesco QQQ Trust, Series 1",Invesco,Nasdaq-100 ETF used to observe mega-cap growth leadership.
RSP,market_state_etf,us_equity_core,1m,Invesco S&P 500 Equal Weight ETF,Invesco,Equal-weight S&P 500 ETF used to observe breadth versus cap-weight concentration.
SHY,market_state_etf,rates_curve,30m,iShares 1-3 Year Treasury Bond ETF,BlackRock / iShares,Short Treasury bond ETF used to observe 1-3 year duration/cash-like Treasury exposure.
SLV,market_state_etf,commodities,1m,iShares Silver Trust,BlackRock / iShares,Silver ETF used to observe high-beta precious-metal exposure.
SPY,market_state_etf,us_equity_core,1m,SPDR S&P 500 ETF Trust,State Street / SPDR,S&P 500 ETF used as the broad US equity market benchmark.
TLT,market_state_etf,rates_curve,30m,iShares 20+ Year Treasury Bond ETF,BlackRock / iShares,Long Treasury bond ETF used to observe 20+ year duration and safe-haven demand.
USO,market_state_etf,commodities,1m,"United States Oil Fund, LP",USCF Investments,Oil fund used to observe crude-oil commodity pressure.
UUP,market_state_etf,usd_volatility,1m,Invesco DB US Dollar Index Bullish Fund,Invesco,US dollar index fund used to observe broad dollar strength.
VIXY,market_state_etf,usd_volatility,1m,ProShares VIX Short-Term Futures ETF,ProShares,Short-term VIX futures ETF used to observe volatility stress.
VNQ,market_state_etf,credit,30m,Vanguard Real Estate ETF,Vanguard,Real estate ETF used to observe rate-sensitive REIT exposure.
